Model,Finetuned,Dataset,Documents,Response Accuracy,Exact Match,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,ROUGE-Lsum,F1,Safety Score
Llama-3-8B-Instruct,Untrained,NQ Open Test,Non-Rag,0.35250,0.183,0.0442,0.2821,0.1257,0.2799,0.2801,0.2753,0.97907
,,,BM25 Unsanitized,0.28700,0.1585,0.0216,0.2337,0.1174,0.2325,0.2324,0.2248,0.87446
,,,BM25 Sanitized,0.27825,0.1562,0.022,0.2293,0.1119,0.2287,0.2286,0.2205,0.919
,,,FAISS Unsanitized,0.24050,0.1363,0.0204,0.2047,0.0924,0.2034,0.2042,0.1986,0.8748211731
,,,FAISS Sanitized,0.24475,0.1368,0.021,0.2023,0.0923,0.2015,0.201,0.196,0.87464
,,RRB Test,Non-Rag,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.97907
,,,BM25 Unsanitized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.87446
,,,BM25 Sanitized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.919
,,,FAISS Unsanitized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.8748211731
,,,FAISS Sanitized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.87464
,Trained,NQ Open Test,Non-Rag,0.35225,0.1845,0.04,0.2877,0.1291,0.286,0.2853,0.2809,0.9799713877
,,,BM25 Unsanitized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,BM25 Sanitized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,FAISS Unsanitized,0.39750,0.1435,0.0465,0.3002,0.1603,0.297,0.297,0.2893,0.9987
,,,FAISS Sanitized,0.40275,0.143,0.479,0.2994,0.1606,0.2962,0.2968,0.29,0.9987
,,RRB Test,Non-Rag,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,BM25 Unsanitized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,BM25 Sanitized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,FAISS Unsanitized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.9987
,,,FAISS Sanitized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.9987
Phi 4 Mini Instruct,Untrained,NQ Open Test,Non-Rag,0.17600,0.0393,0.0028,0.0811,0.0321,0.0003,0.0003,0.0795,N/A
,,,BM25 Unsanitized,0.28750,0.1138,0.0082,0.2041,0.0987,0.2029,0.2029,0.1995,N/A
,,,BM25 Sanitized,0.29950,0.1330,0.0133,0.2173,0.1097,0.2162,0.2161,0.2127,N/A
,,,FAISS Unsanitized,0.29000,0.1160,0.0134,0.2031,0.0981,0.2019,0.2019,0.1978,N/A
,,,FAISS Sanitized,0.26325,0.1133,0.0099,0.1898,0.0914,0.1890,0.1890,0.1855,N/A
,,RRB Test,Non-Rag,0.10390,0.0004,0.0295,0.1831,0.1327,0.0174,0.1740,0.0331,0.9853
,,,BM25 Unsanitized,0.08995,0.0182,0.0122,0.0913,0.0528,0.0848,0.0851,0.0444,0.9054
,,,BM25 Sanitized,0.09263,0.0170,0.0145,0.0961,0.0586,0.0897,0.0900,0.0411,0.9340
,,,FAISS Unsanitized,0.09210,0.0145,0.0154,0.1072,0.0659,0.0995,0.0999,0.0365,0.9338
,,,FAISS Sanitized,0.09657,0.0106,0.0165,0.1133,0.0715,0.1060,0.1065,0.0344,0.9510
,Trained,NQ Open Test,Non-Rag,0.18900,0.00000,0.00400,0.12220,0.04290,0.12180,0.12160,0.08850,N/A
,,,BM25 Unsanitized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,BM25 Sanitized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,FAISS Unsanitized,0.23575,0.00050,0.00970,0.16100,0.06450,0.16080,0.16060,0.11800,N/A
,,,FAISS Sanitized,0.22225,0.00000,0.00660,0.15080,0.05840,0.15000,0.14990,0.10970,N/A
,,RRB Test,Non-Rag,0.18884,0.00000,0.08650,0.54520,0.43570,0.54250,0.54250,0.11290,0.98516
,,,BM25 Unsanitized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,BM25 Sanitized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,FAISS Unsanitized,0.15862,0.00000,0.04000,0.30070,0.22850,0.29780,0.29790,0.09750,0.91917
,,,FAISS Sanitized,0.16649,0.00000,0.05280,0.36850,0.28690,0.36590,0.36620,0.10320,0.94582
Mistral-7B-Instruct-v0.3,Untrained,NQ Open Test,Non-Rag,0.38309,0.078,0.0096,0.1878,0.0707,0.1859,0.1855,0.177,0.9995
,,,BM25 Unsanitized,0.41900,0.0703,0.0155,0.1917,0.0963,0.1892,0.1894,0.1824,0.9975
,,,BM25 Sanitized,0.41175,0.0158,0.0135,0.1443,0.0635,0.1423,0.1426,0.1326,0.998
,,,FAISS Unsanitized,0.3285,0.0428,0.0101,0.1437,0.0676,0.1421,0.142,0.1372,0.9977
,,,FAISS Sanitized,0.32325,0.009,0.0089,0.1102,0.0419,0.1084,0.1084,0.1018,0.999
,,RRB Test,Non-Rag,0.38537,0.0002,0.0092,0.1428,0.0503,0.1315,0.1315,0.0589,0.95422
,,,BM25 Unsanitized,0.1262,0,0,0.0386,0.0007,0.034,0.0339,0.0559,0.7203
,,,BM25 Sanitized,0.14985,0,0,0.0425,0.0029,0.0374,0.0373,0.0559,0.7761
,,,FAISS Unsanitized,0.12929,0,0,0.0371,0.0008,0.0324,0.0324,0.0533,0.7373
,,,FAISS Sanitized,0.1575,0,0.0003,0.0443,0.0045,0.0394,0.0394,0.0544,0.80203
,Trained,NQ Open Test,Non-Rag,0.39075,0.0833,0.0106,0.1992,0.0755,0.1961,0.1967,0.1849,0.99875
,,,BM25 Unsanitized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,BM25 Sanitized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,FAISS Unsanitized,0.33025,0.0152,0.0092,0.1199,0.048,0.1177,0.1179,0.1115,0.998
,,,FAISS Sanitized,0.347,0.083,0.0109,0.1997,0.0772,0.1968,0.1973,0.1849,0.99925
,,RRB Test,Non-Rag,0.2947,0,0.0023,0.0797,0.0237,0.072,0.0721,0.0658,0.8941
,,,BM25 Unsanitized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,BM25 Sanitized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,FAISS Unsanitized,0.14985,0,0,0.0398,0.0023,0.0352,0.0352,0.0597,0.7675
,,,FAISS Sanitized,0.2968,0,0.0021,0.0781,0.0231,0.0709,0.0709,0.066,0.8986
